,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
10000,10000,Wandsworth,2021-06-02,"James Pendleton, Clapham South, Abbeville Village & Balham Office",0,"Cathles Road, Clapham South, London SW12",0,0,pre-owned,1450000.0,terraced,0,freehold,4 bed terraced house for sale,51.450108,-0.144176,164.0,4,3,2,2021-06-02,1450000.0,1,0,1,Clapham South,439,18
10001,10001,Wandsworth,2021-06-02,Nested Ltd,1,"Lessingham Avenue, Tooting, London SW17",0,0,pre-owned,650000.0,terraced,0,freehold,3 bed terraced house for sale,51.430156,-0.159828,74.0,3,1,1,2021-06-02,650000.0,1,0,1,Chesham,600,65
10002,10002,Wandsworth,2021-06-01,Dexters - Putney,0,"Dyers Lane, London SW15",0,0,pre-owned,1050000.0,Other,0,freehold,4 bed property for sale,51.464878,-0.233619,145.0,4,2,2,2021-06-01,1050000.0,0,1,1,East Putney,1315,6
10003,10003,Wandsworth,2021-06-01,Savills - Wandsworth,0,"Huguenot Place, London SW18",0,0,pre-owned,650000.0,flat,0,leasehold,2 bed flat for sale,51.457752,-0.183275,125.0,2,1,1,2021-06-01,650000.0,1,0,0,Parsons Green,1941,20
10004,10004,Wandsworth,2021-06-01,Rampton Baseley,0,"Wroughton Road, London SW11",0,0,pre-owned,685000.0,flat,0,share_of_freehold,1 bed flat for sale,51.45327,-0.159392,71.0,1,1,1,2021-06-01,685000.0,0,0,1,Clapham South,735,9
10005,10005,Wandsworth,2021-06-01,Keller Williams,0,"Mapleton Crescent, London SW18",0,0,pre-owned,340000.0,flat,0,Other,1 bed flat for sale,51.453812,-0.193065,40.0,1,1,1,2021-06-01,340000.0,1,0,1,Southfields,1185,22
10006,10006,Wandsworth,2021-06-01,Hurford Salvi Carr - Clerkenwell & City Sales,0,"Warriner Gardens, London SW11",0,0,pre-owned,2795000.0,detached,0,freehold,4 bed detached house for sale,51.47451,-0.158511,257.0,4,4,2,2021-06-01,2795000.0,1,1,1,Chesham,1795,12
10007,10007,Wandsworth,2021-06-01,Century 21 Prestige,0,"Stamford Square, London SW15",0,0,pre-owned,139500.0,flat,0,leasehold,1 bed flat for sale,51.459291,-0.211846,48.0,1,1,1,2021-06-01,139500.0,0,0,0,East Putney,161,20
10008,10008,Wandsworth,2021-06-01,Dexters - Northcote Road,0,"Broomwood Road, London SW11",0,0,pre-owned,965000.0,flat,0,share_of_freehold,3 bed flat for sale,51.453427,-0.16512,130.0,3,3,1,2021-06-01,965000.0,1,0,0,Chesham,1087,8
10009,10009,Wandsworth,2021-06-01,Savills - Putney,0,"Ravenna Road, Putney, London SW15",0,0,pre-owned,4695000.0,semi_detached,0,freehold,6 bed semi-detached house for sale,51.460511,-0.220133,452.0,6,3,5,2021-06-01,4695000.0,0,1,1,East Putney,594,24
