,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
7000,7000,Tower Hamlets,2021-06-16,Dockley's,0,"Cobalt Point, Canary Wharf E14",0,0,pre-owned,400000.0,flat,0,Other,1 bed flat for sale,51.497694,-0.019094,46.0,1,1,1,2021-06-16,395000.0,1,1,0,South Quay,288,23
7001,7001,Tower Hamlets,2021-06-16,Marsh & Parsons - Shoreditch,1,"Campbell Road, London E3",0,0,pre-owned,650000.0,flat,0,leasehold,2 bed flat for sale,51.527327,-0.021091,93.0,2,2,1,2021-06-16,650000.0,0,0,0,Bow Church,123,3
7002,7002,Tower Hamlets,2021-06-15,TBA Property Ltd,0,"Varden Street, London E1",0,0,pre-owned,1450000.0,terraced,0,freehold,3 bed terraced house for sale,51.515786,-0.061196,151.0,3,2,2,2021-06-15,1450000.0,1,0,1,Whitechapel,403,31
7003,7003,Tower Hamlets,2021-06-15,"RiverHomes, South West & Central London Branch",0,"Limehouse Basin, London E14",0,0,pre-owned,230000.0,houseboat,0,Other,4 bed houseboat for sale,51.509953,-0.034337,116.0,4,1,1,2021-06-15,230000.0,0,0,0,Chesham,496,19
7004,7004,Tower Hamlets,2021-06-15,Savills - Wapping,0,"Whittington Apartments, 46 East Arbour Street, London E1",0,0,pre-owned,500000.0,Other,0,leasehold,2 bed property for sale,51.5156,-0.0478,51.0,2,1,1,2021-06-15,500000.0,1,1,0,Chesham,593,9
7005,7005,Tower Hamlets,2021-06-15,Savills - Wapping,0,"Wapping High Street, London E1W",0,0,pre-owned,1000000.0,Other,0,share_of_freehold,2 bed property for sale,51.505426,-0.055152,132.0,2,2,1,2021-06-15,1000000.0,0,1,0,Wapping,146,13
7006,7006,Tower Hamlets,2021-06-15,Moving City,0,"City West Tower, 6 High Street, Stratford E15",0,0,pre-owned,470000.0,flat,0,Other,2 bed flat for sale,51.530181,-0.013728,71.0,2,2,1,2021-06-15,480000.0,0,0,1,Pudding Mill Lane,516,2
7007,7007,Tower Hamlets,2021-06-15,Pioneer Property Group,1,"Abbot Road, Aberfeldy Village, East India Dock, London E14",0,0,new,556000.0,flat,0,leasehold,2 bed flat for sale,51.513245,-0.000384,80.0,2,2,1,2021-06-15,556000.0,0,1,0,East India,491,4
7008,7008,Tower Hamlets,2021-06-15,Pioneer Property Group,1,"Abbot Road, Aberfeldy Village, London E14",0,0,new,414000.0,flat,0,leasehold,1 bed flat for sale,51.513245,-0.000384,52.0,1,1,1,2021-06-15,414000.0,0,0,0,East India,491,4
7009,7009,Tower Hamlets,2021-06-15,EweMove Sales & Lettings - Southwark & New Cross,1,"Wapping Lane, London E1W",0,0,pre-owned,500000.0,flat,0,leasehold,1 bed flat for sale,51.5042,-0.056866,64.0,1,1,1,2021-06-15,500000.0,1,1,0,Wapping,56,15
7010,7010,Tower Hamlets,2021-06-15,Notting Hill Genesis - Goodluck Hope,1,"Goodluck Hope, - 90 Orchard Place, Poplar E14",0,1,new,148750.0,flat,0,leasehold,2 bed flat for sale,51.509474,0.005619,67.0,2,2,1,2021-06-15,148750.0,0,0,1,Chesham,499,6
7011,7011,Tower Hamlets,2021-06-15,Notting Hill Genesis - Goodluck Hope,1,"Goodluck Hope, - 90 Orchard Place, Poplar E14",0,1,new,455000.0,flat,0,leasehold,1 bed flat for sale,51.509474,0.005619,51.0,1,1,0,2021-06-15,455000.0,0,0,1,Chesham,499,6
7012,7012,Tower Hamlets,2021-06-15,Notting Hill Genesis - Goodluck Hope,1,"Goodluck Hope, - 90 Orchard Place, Poplar E14",0,1,new,595000.0,flat,0,leasehold,2 bed flat for sale,51.509474,0.005619,67.0,2,2,0,2021-06-15,595000.0,0,0,1,Chesham,499,6
7013,7013,Tower Hamlets,2021-06-15,Hamptons - Canary Wharf Sales,1,"Chusan Place, London E14",0,0,pre-owned,800000.0,mews,0,freehold,3 bed mews house for sale,51.512277,-0.028632,84.0,3,3,1,2021-06-15,800000.0,1,0,0,Westferry,287,9
7014,7014,Tower Hamlets,2021-06-15,Hurford Salvi Carr - Docklands,1,"Chinnocks Wharf, 42 Narrow Street E14",0,0,pre-owned,785000.0,flat,0,leasehold,2 bed flat for sale,51.509706,-0.038312,73.0,2,2,1,2021-06-15,785000.0,1,1,0,Limehouse,417,15
7015,7015,Tower Hamlets,2021-06-15,Ashley King,0,"Jamestown Way, London E14",0,0,pre-owned,799995.0,flat,0,Other,3 bed flat for sale,51.507198,-0.001331,104.0,3,3,1,2021-06-15,799995.0,1,1,0,East India,186,18
7016,7016,Tower Hamlets,2021-06-15,Galliard Homes - Orchard Wharf,1,"Orchard Wharf, Silvocea Way, London E14",0,0,new,698000.0,flat,0,leasehold,2 bed flat for sale,51.5120470724638,-0.0074119468599033,76.0,2,1,1,2021-06-15,698000.0,1,0,0,Chesham,381,8
7017,7017,Tower Hamlets,2021-06-15,Knight Frank - Canary Wharf Sales,1,"Royal Mint Street, London E1",0,0,new,450000.0,studio,0,leasehold,Studio for sale,51.512174,-0.068993,38.0,0,1,1,2021-06-15,450000.0,0,0,0,Aldgate East,354,80
7018,7018,Tower Hamlets,2021-06-14,Savills - Shoreditch,1,"Wiverton Tower, 4 New Drum Street, London E1",0,0,pre-owned,670000.0,flat,0,leasehold,1 bed flat for sale,51.514946,-0.071321,57.0,1,1,1,2021-06-14,670000.0,1,0,1,Aldgate East,114,155
7019,7019,Tower Hamlets,2021-06-14,Savills - Wapping,1,"Wiverton Tower, 4 New Drum Street, London E1",0,0,pre-owned,1000000.0,flat,0,leasehold,3 bed flat for sale,51.514946,-0.071321,96.0,3,2,1,2021-06-14,1000000.0,1,0,1,Aldgate East,114,155
7020,7020,Tower Hamlets,2021-06-14,Hamptons - Canary Wharf Sales,0,"Boardwalk Place, London E14",0,0,pre-owned,799995.0,flat,0,leasehold,3 bed flat for sale,51.505712,-0.0105,93.0,3,2,1,2021-06-14,799995.0,0,1,0,Blackwall,319,18
7021,7021,Tower Hamlets,2021-06-14,"Purplebricks, Head Office",0,"Club Row, London E2",0,0,pre-owned,850000.0,flat,0,leasehold,4 bed flat for sale,51.524965,-0.074674,88.0,4,2,1,2021-06-14,875000.0,1,0,0,Shoreditch,384,109
7022,7022,Tower Hamlets,2021-06-14,Madley Property,0,"Cobalt Point, Millharbour, Canary Wharf E14",0,0,pre-owned,400000.0,flat,0,leasehold,1 bed flat for sale,51.497737,-0.019173,46.0,1,1,1,2021-06-14,400000.0,0,1,0,South Quay,285,23
7023,7023,Tower Hamlets,2021-06-14,Abatoria Residential Ltd,0,"Gun Wharf, 124 Wapping High Street, London E1W",0,0,pre-owned,825000.0,flat,0,share_of_freehold,1 bed flat for sale,51.503831,-0.056632,93.0,1,1,1,2021-06-14,825000.0,1,1,0,Wapping,63,15
7024,7024,Tower Hamlets,2021-06-14,Dexters - Wapping,1,"Wapping High Street, London E1W",0,0,pre-owned,1500000.0,flat,0,leasehold,3 bed flat for sale,51.505529,-0.054117,177.0,3,2,1,2021-06-14,1500000.0,1,1,0,Wapping,175,13
7025,7025,Tower Hamlets,2021-06-14,St William - Poplar Riverside,1,"Leven Road, Poplar E14",0,0,new,644500.0,flat,0,leasehold,2 bed flat for sale,51.514453,-0.002118,67.0,2,2,0,2021-06-14,644500.0,0,0,1,East India,645,1
7026,7026,Tower Hamlets,2021-06-14,Hurford Salvi Carr - Aldgate,0,"Alie Street, Aldgate East E1",0,0,pre-owned,550000.0,flat,0,leasehold,1 bed flat for sale,51.514268,-0.069822,44.0,1,1,1,2021-06-14,550000.0,0,0,0,Aldgate East,246,114
7027,7027,Tower Hamlets,2021-06-14,Hurford Salvi Carr - Aldgate,0,"Royal Mint Street, London E1",0,0,pre-owned,975000.0,flat,0,Other,2 bed flat for sale,51.510654,-0.071577,68.0,2,1,1,2021-06-14,975000.0,1,0,1,Tower Gateway,246,82
7028,7028,Tower Hamlets,2021-06-14,Peabody,0,"Epstein Square, London E14",0,1,pre-owned,220000.0,flat,0,leasehold,3 bed flat for sale,51.513117,-0.020439,83.0,3,2,0,2021-06-14,220000.0,1,0,1,Chesham,573,9
7029,7029,Tower Hamlets,2021-06-12,Docklands Prestige Residential Limited,0,"Lighterman Point, 3 New Village Avenue, London E14",0,0,pre-owned,420000.0,flat,0,leasehold,2 bed flat for sale,51.513245,-0.000384,71.0,2,0,0,2021-06-12,440000.0,1,0,0,East India,491,4
7030,7030,Tower Hamlets,2021-06-11,Savills - Canary Wharf,0,"Foundry House, 47 Morris Road, London E14",0,0,pre-owned,625000.0,Other,0,leasehold,1 bed property for sale,51.518226,-0.015632,91.0,1,1,1,2021-06-11,625000.0,1,1,0,Devons Road,516,3
7031,7031,Tower Hamlets,2021-06-11,LiFE Residential - Royal Wharf,0,"Three Water, Bow Creek, Gillender Street, London E3",0,0,pre-owned,520000.0,flat,0,leasehold,2 bed flat for sale,51.521132,-0.009798,70.0,2,2,0,2021-06-11,520000.0,1,0,1,Bromley-By-Bow,362,2
7032,7032,Tower Hamlets,2021-06-11,Savills - Wapping,1,"Capital Wharf, 50 Wapping High Street, London E1W",0,0,pre-owned,1750000.0,flat,0,leasehold,3 bed flat for sale,51.503681,-0.063871,141.0,3,3,1,2021-06-11,1750000.0,1,1,0,Chesham,432,15
7033,7033,Tower Hamlets,2021-06-11,Butler and Stag,1,"Ordell Road, Bow, London E3",0,0,pre-owned,375000.0,flat,0,Other,1 bed flat for sale,51.530559,-0.026841,51.0,1,1,1,2021-06-11,375000.0,0,1,1,Chesham,502,10
7034,7034,Tower Hamlets,2021-06-11,Clear Investment,1,"Blair Street, Poplar, London E14",0,0,new,409000.0,flat,0,Other,1 bed flat for sale,51.51316,-0.004413,52.0,1,1,1,2021-06-11,409000.0,0,1,0,East India,547,5
7035,7035,Tower Hamlets,2021-06-11,Butler and Stag,0,"St. Stephens Road, London E3",0,0,pre-owned,475000.0,maisonette,0,Other,3 bed maisonette for sale,51.533786,-0.033496,88.0,3,1,1,2021-06-11,475000.0,0,0,1,Mile End,965,10
7036,7036,Tower Hamlets,2021-06-11,LiFE Residential - Canary Wharf,0,"Arena Tower, 25 Crossharbour Plaza, London E14",0,0,pre-owned,800000.0,flat,0,leasehold,2 bed flat for sale,51.497108,-0.013948,71.0,2,2,1,2021-06-11,800000.0,1,0,0,Crossharbour & London Arena,113,19
7037,7037,Tower Hamlets,2021-06-11,Savills - Canary Wharf,0,"Hampton Tower, South Quay Plaza, Canary Wharf, London E14",0,0,pre-owned,799995.0,flat,0,leasehold,1 bed flat for sale,51.500547,-0.017264,61.0,1,1,1,2021-06-11,799995.0,0,0,0,South Quay,147,49
7038,7038,Tower Hamlets,2021-06-11,Rubicon,0,"Brightlingsea Place, London E14",0,0,pre-owned,450000.0,flat,0,Other,1 bed flat for sale,51.509388,-0.033929,64.0,1,1,1,2021-06-11,450000.0,1,1,0,Chesham,421,21
7039,7039,Tower Hamlets,2021-06-11,Property Liaisons,0,"Prospect Place, Wapping E1W",0,0,pre-owned,775000.0,terraced,0,share_of_freehold,2 bed terraced house for sale,51.506573,-0.053362,90.0,2,2,1,2021-06-11,775000.0,1,0,1,Wapping,259,10
7040,7040,Tower Hamlets,2021-06-11,Savills - Shoreditch,0,"Chance Street, London E2",0,0,pre-owned,795000.0,flat,0,leasehold,1 bed flat for sale,51.524597,-0.075267,64.0,1,1,1,2021-06-11,795000.0,1,0,1,Shoreditch,362,132
7041,7041,Tower Hamlets,2021-06-11,Knight Frank - Canary Wharf Sales,0,"Chinnocks Wharf, 42 Narrow Street, London E14",0,0,pre-owned,850000.0,flat,0,Other,3 bed flat for sale,51.5096,-0.037947,113.0,3,2,1,2021-06-11,900000.0,1,1,0,Limehouse,398,15
7042,7042,Tower Hamlets,2021-06-11,Savills - Wapping,1,"St. Mary Graces Court, Cartwright Street, London E1",0,0,pre-owned,600000.0,flat,0,leasehold,3 bed flat for sale,51.509294,-0.071012,93.0,3,2,1,2021-06-11,600000.0,1,1,0,Tower Gateway,421,60
7043,7043,Tower Hamlets,2021-06-11,Landmark Estates,0,"Botanic Square, London E14",0,0,pre-owned,1100000.0,flat,0,leasehold,2 bed flat for sale,51.511421,0.005244,119.0,2,2,2,2021-06-11,1100000.0,1,0,0,Canning Town,412,7
7044,7044,Tower Hamlets,2021-06-11,LiFE Residential - Canary Wharf,0,"Arena Tower, 25 Crossharbour Plaza, London E14",0,0,pre-owned,550000.0,flat,0,leasehold,1 bed flat for sale,51.498465,-0.019618,54.0,1,1,1,2021-06-11,550000.0,0,0,0,South Quay,273,30
7045,7045,Tower Hamlets,2021-06-11,Ernest-Brooks International,1,"12 Baltimore Wharf, Canary Wharf E14",0,0,pre-owned,550000.0,flat,0,leasehold,2 bed flat for sale,51.497213,-0.01581,77.0,2,2,1,2021-06-11,550000.0,1,1,0,Crossharbour & London Arena,212,18
7046,7046,Tower Hamlets,2021-06-11,L&Q - Lock No.19,1,"Bream Street, London E3",0,1,new,104375.0,flat,0,leasehold,1 bed flat for sale,51.538631,-0.021358,51.0,1,1,0,2021-06-11,104375.0,0,0,1,Pudding Mill Lane,933,8
7047,7047,Tower Hamlets,2021-06-11,Ernest-Brooks International,0,"Sugar House, 99 Leman Street E1",0,0,pre-owned,1100000.0,flat,0,leasehold,2 bed flat for sale,51.512236,-0.069094,102.0,2,2,1,2021-06-11,1100000.0,1,0,1,Aldgate East,347,79
7048,7048,Tower Hamlets,2021-06-11,MyLondonHome - Canary Wharf,1,"Ivy Point, 5 Hannaford Walk, Bromley-By-Bow E3",0,0,new,450000.0,flat,0,leasehold,3 bed flat for sale,51.523265,-0.01103,77.0,3,2,1,2021-06-11,450000.0,1,0,0,Bromley-By-Bow,158,3
7049,7049,Tower Hamlets,2021-06-11,JLL - Canary Wharf,0,"Upper North Street, London E14",0,0,pre-owned,300000.0,studio,0,leasehold,Studio for sale,51.513522,-0.020419,40.0,0,1,1,2021-06-11,300000.0,1,0,0,Chesham,601,9
7050,7050,Tower Hamlets,2021-06-11,Rubicon,0,"Narrow Street, London E14",0,0,pre-owned,525000.0,flat,0,Other,2 bed flat for sale,51.510318,-0.039509,60.0,2,2,1,2021-06-11,525000.0,1,1,0,Limehouse,258,16
7051,7051,Tower Hamlets,2021-06-11,Urban Spaces Loft Living & Unique Properties,1,"Masters Lodge, Shadwell E1",0,0,pre-owned,675000.0,flat,0,freehold,2 bed flat for sale,51.51939,-0.04165,86.0,2,2,0,2021-06-11,675000.0,0,1,1,Stepney Green,388,11
7052,7052,Tower Hamlets,2021-06-11,Knight Frank - Canary Wharf Sales,0,"Whiteadder Way, Isle Of Dogs, London E14",0,0,pre-owned,400000.0,flat,0,Other,1 bed flat for sale,51.4922,-0.017034,55.0,1,1,1,2021-06-11,400000.0,1,0,0,Mudchute,253,6
7053,7053,Tower Hamlets,2021-06-10,Cluttons - Wapping,0,"Capital Wharf, 50 Wapping High Street, London E1W",0,0,pre-owned,1750000.0,flat,0,leasehold,3 bed flat for sale,51.503681,-0.063871,141.0,3,2,1,2021-06-10,1750000.0,1,1,0,Chesham,432,15
7054,7054,Tower Hamlets,2021-06-10,Property Liaisons,1,"Riverside Mansions, Milk Yard, London E1W",0,0,pre-owned,500000.0,flat,0,leasehold,2 bed flat for sale,51.507516,-0.053789,65.0,2,1,1,2021-06-10,500000.0,1,1,0,Wapping,363,10
7055,7055,Tower Hamlets,2021-06-10,Iconia London,1,"Dewberry Street, London E14",0,0,pre-owned,269995.0,flat,0,share_of_freehold,1 bed flat for sale,51.515996,-0.009848,39.0,1,1,1,2021-06-10,275000.0,0,1,0,All Saints,691,4
7056,7056,Tower Hamlets,2021-06-10,Landmark London Asset Management,0,"Rope Court, Canoe Walk E14",0,0,pre-owned,1100000.0,flat,0,Other,3 bed flat for sale,51.51329,-0.030023,149.0,3,3,1,2021-06-10,1100000.0,1,0,0,Westferry,523,9
7057,7057,Tower Hamlets,2021-06-10,Knight Frank - Canary Wharf Sales,0,"Leeward Court, Asher Way, London E1W",0,0,pre-owned,800000.0,flat,0,Other,2 bed flat for sale,51.51,-0.06,89.0,2,2,1,2021-06-10,800000.0,1,1,1,Shadwell,291,14
7058,7058,Tower Hamlets,2021-06-10,Stone Real Estate,1,"Corbridge Crescent, London E2",0,0,new,625000.0,flat,0,leasehold,1 bed flat for sale,51.533763,-0.058376,54.0,1,1,0,2021-06-10,625000.0,1,0,1,Bethnal Green,725,30
7059,7059,Tower Hamlets,2021-06-10,Stirling Ackroyd - Shoreditch,0,"Sceptre Road, London E2",0,0,pre-owned,325000.0,flat,1,share_of_freehold,1 bed flat for sale,51.526646,-0.051468,43.0,1,1,1,2021-06-10,385000.0,1,0,0,Bethnal Green,238,32
7060,7060,Tower Hamlets,2021-06-10,Hurford Salvi Carr - Aldgate,0,"Goodman's Fields, Canter Way E1",0,0,pre-owned,700000.0,flat,0,Other,1 bed flat for sale,51.514059,-0.069444,53.0,1,1,1,2021-06-10,700000.0,1,0,1,Aldgate East,279,111
7061,7061,Tower Hamlets,2021-06-09,Winkworth - Bow,0,"Alton House, Bromley High Street, London E3",0,0,pre-owned,375000.0,flat,0,leasehold,3 bed flat for sale,51.529,-0.013563,93.0,3,1,1,2021-06-09,375000.0,0,0,0,Bromley-By-Bow,379,2
7062,7062,Tower Hamlets,2021-06-09,Savills - Hackney Wick Fish Island RDS,1,"Empress Works, 1-3 Corbridge Crescent, London E2",0,0,new,610000.0,flat,0,Other,1 bed flat for sale,51.53396,-0.058463,50.0,1,1,1,2021-06-09,610000.0,1,0,0,Bethnal Green,729,29
7063,7063,Tower Hamlets,2021-06-09,Keatons - Bow,1,"Salsabil Apartments, 92 St. Clements Avenue, London E3",0,0,pre-owned,600000.0,flat,0,leasehold,2 bed flat for sale,51.524296,-0.029005,63.0,2,2,1,2021-06-09,600000.0,1,0,0,Chesham,422,15
7064,7064,Tower Hamlets,2021-06-09,Hurford Salvi Carr - Docklands,0,"Limehouse, Island Row E14",0,0,pre-owned,775000.0,end_terrace,0,freehold,3 bed end terrace house for sale,51.511373,-0.033004,104.0,3,2,1,2021-06-09,775000.0,0,1,1,Limehouse,454,15
7065,7065,Tower Hamlets,2021-06-09,Knight Frank - City & East New Homes,0,"Apartment 124 Johanna Court, Oxbow, 1 New Village Avenue, London E14",0,0,pre-owned,477000.0,flat,0,leasehold,1 bed flat for sale,51.512495,-0.003536,51.0,1,1,1,2021-06-09,477000.0,0,0,0,East India,418,4
7066,7066,Tower Hamlets,2021-06-09,Property Matters (London) Ltd,0,"Caspian Apartments, Limehouse, London E14",0,0,pre-owned,475000.0,flat,0,leasehold,2 bed flat for sale,51.512792,-0.034214,62.0,2,0,0,2021-06-09,475000.0,1,0,0,Limehouse,367,16
7067,7067,Tower Hamlets,2021-06-09,Galliard Homes - Orchard Wharf,1,"Orchard Wharf, Silvocea Way E14",0,0,new,483000.0,flat,0,leasehold,1 bed flat for sale,51.5120470724638,-0.0074119468599033,51.0,1,1,0,2021-06-09,483000.0,1,0,0,Chesham,381,8
7068,7068,Tower Hamlets,2021-06-09,Butler and Stag,0,"Roman Road, London E3",0,0,pre-owned,425000.0,flat,0,Other,3 bed flat for sale,51.531143,-0.037825,84.0,3,1,1,2021-06-09,450000.0,0,0,0,Mile End,714,18
7069,7069,Tower Hamlets,2021-06-09,JLL - City,1,"Cavell Street, London E1",0,0,new,650000.0,flat,0,leasehold,1 bed flat for sale,51.517572,-0.057157,52.0,1,1,1,2021-06-09,650000.0,0,0,1,Whitechapel,366,30
7070,7070,Tower Hamlets,2021-06-09,JLL - Canary Wharf,0,"Marsh Wall, London E14",0,0,pre-owned,850000.0,flat,0,leasehold,2 bed flat for sale,51.502013,-0.024765,76.0,2,2,1,2021-06-09,800000.0,1,0,1,Chesham,610,53
7071,7071,Tower Hamlets,2021-06-09,Stirling Ackroyd - Shoreditch,0,"Heneage Street, London E1",0,0,pre-owned,485000.0,flat,0,leasehold,2 bed flat for sale,51.518781,-0.071029,48.0,2,1,1,2021-06-09,485000.0,1,0,0,Chesham,366,153
7072,7072,Tower Hamlets,2021-06-09,Stirling Ackroyd - Shoreditch,1,"Temple Street, London E2",0,0,pre-owned,325000.0,flat,1,leasehold,1 bed flat for sale,51.531687,-0.061269,34.0,1,1,1,2021-06-09,325000.0,0,0,0,Bethnal Green,644,25
7073,7073,Tower Hamlets,2021-06-08,Keatons - Bow,1,"Fairfield Road, Bow, London E3",0,0,pre-owned,850000.0,Other,0,freehold,3 bed property for sale,51.529026,-0.019905,96.0,3,1,2,2021-06-08,850000.0,0,0,1,Bow Church,226,3
7074,7074,Tower Hamlets,2021-06-08,CBRE,1,"Parkside West, Blackwall Reach, London E14",0,0,new,563500.0,flat,0,leasehold,2 bed flat for sale,51.50828,-0.008218,75.0,2,2,1,2021-06-08,563500.0,1,0,1,Blackwall,122,13
7075,7075,Tower Hamlets,2021-06-08,CBRE,1,"Parkside West, Blackwall Reach, London E14",0,0,new,694000.0,flat,0,leasehold,3 bed flat for sale,51.50828,-0.008218,103.0,3,2,1,2021-06-08,694000.0,1,0,1,Blackwall,122,13
7076,7076,Tower Hamlets,2021-06-08,"Purplebricks, Head Office",0,"14 Taylor Place, Bow E3",0,0,pre-owned,280000.0,studio,0,leasehold,Studio for sale,51.530122,-0.016095,46.0,0,1,1,2021-06-08,280000.0,0,0,0,Chesham,443,3
7077,7077,Tower Hamlets,2021-06-08,Avas Residential,0,"Burrells Wharf, London E14",0,0,pre-owned,300000.0,flat,0,leasehold,1 bed flat for sale,51.487143,-0.019632,39.0,1,1,1,2021-06-08,300000.0,1,0,1,Mudchute,539,8
7078,7078,Tower Hamlets,2021-06-08,Dexters - Wapping,0,"Wapping High Street, London E1W",0,0,pre-owned,950000.0,flat,0,leasehold,3 bed flat for sale,51.505345,-0.055177,114.0,3,2,1,2021-06-08,950000.0,0,0,0,Wapping,144,13
7079,7079,Tower Hamlets,2021-06-08,Savills - Wapping,0,"Bridewell Place, London E1W",0,0,pre-owned,675000.0,mews,0,leasehold,1 bed mews house for sale,51.504142,-0.057469,84.0,1,2,1,2021-06-08,675000.0,0,1,1,Wapping,146,15
7080,7080,Tower Hamlets,2021-06-08,Sovereign House,0,"Old Ford Road, London E3",0,0,pre-owned,850000.0,end_terrace,0,Other,5 bed end terrace house for sale,51.534599,-0.030409,132.0,5,2,2,2021-06-08,850000.0,0,0,1,Bow Road,929,8
7081,7081,Tower Hamlets,2021-06-08,Visum,1,"Grimsby Street, London E2",0,0,new,1000000.0,end_terrace,0,freehold,4 bed end terrace house for sale,51.523248,-0.070855,93.0,4,2,1,2021-06-08,1000000.0,1,0,0,Shoreditch,120,104
7082,7082,Tower Hamlets,2021-06-08,Strike,1,"London Dock, London E1W",0,0,pre-owned,327975.0,flat,0,leasehold,1 bed flat for sale,51.508462,-0.066055,50.0,1,1,1,2021-06-08,327975.0,1,1,0,Tower Gateway,599,30
7083,7083,Tower Hamlets,2021-06-08,Strike,1,"London Dock, London E1W",0,0,pre-owned,750000.0,flat,0,leasehold,1 bed flat for sale,51.508462,-0.066055,50.0,1,1,1,2021-06-08,750000.0,1,1,0,Tower Gateway,599,30
7084,7084,Tower Hamlets,2021-06-08,JBrown Property UK,0,"Houblon Apartments, 6 Tyne Street, London E1",0,1,pre-owned,715000.0,flat,0,leasehold,2 bed flat for sale,51.515408,-0.072613,74.0,2,1,1,2021-06-08,715000.0,1,0,0,Aldgate East,1,193
7085,7085,Tower Hamlets,2021-06-08,Knight Frank - Canary Wharf Sales,0,"Telfords Yard, London E1W",0,0,pre-owned,1000000.0,flat,0,Other,2 bed flat for sale,51.509019,-0.065146,116.0,2,2,1,2021-06-08,1000000.0,0,1,0,Tower Gateway,621,29
7086,7086,Tower Hamlets,2021-06-08,One Move Property Group Ltd,1,"London Dock, 9 Arrivalley Square, London, Greater London E1W",0,0,new,1450000.0,flat,0,leasehold,2 bed flat for sale,51.508296,-0.066702,86.0,2,2,1,2021-06-08,1450000.0,0,0,1,Tower Gateway,566,31
7087,7087,Tower Hamlets,2021-06-08,Oliver Jaques,1,"Fairfield Road, London E3",0,0,pre-owned,320000.0,flat,0,Other,1 bed flat for sale,51.530899,-0.020479,46.0,1,1,1,2021-06-08,320000.0,0,1,1,Bow Church,396,5
7088,7088,Tower Hamlets,2021-06-08,Peach Properties,0,"Firth House, Turin Street, Shoreditch E2",0,0,pre-owned,385000.0,flat,0,Other,2 bed flat for sale,51.527198,-0.068215,58.0,2,1,1,2021-06-08,400000.0,1,0,0,Shoreditch,531,38
7089,7089,Tower Hamlets,2021-06-08,Ernest-Brooks International,1,"One Park Drive, Wood Wharf, Canary Wharf E14",0,0,new,599000.0,studio,0,leasehold,Studio for sale,51.502843,-0.011631,44.0,0,1,1,2021-06-08,620000.0,0,0,0,Blackwall,744,41
7090,7090,Tower Hamlets,2021-06-08,JOHNS&CO - Canary Wharf,1,"The Bouchon, The Silk Disrict, London E1",0,0,new,447000.0,studio,0,leasehold,Studio for sale,51.517572,-0.057157,44.0,0,1,1,2021-06-08,447000.0,0,0,1,Whitechapel,366,30
7091,7091,Tower Hamlets,2021-06-07,Savills - Canary Wharf,0,"Lowry House, Cassilis Road, Canary Wharf, London E14",0,0,pre-owned,349950.0,flat,0,leasehold,1 bed flat for sale,51.49841,-0.022255,59.0,1,1,1,2021-06-07,375000.0,0,0,1,South Quay,389,22
7092,7092,Tower Hamlets,2021-06-07,Keatons - Bow,1,"Cascades Tower, 4 Westferry Road, London E14",0,0,pre-owned,650000.0,flat,0,share_of_freehold,2 bed flat for sale,51.502456,-0.027008,70.0,2,2,1,2021-06-07,650000.0,1,1,0,Chesham,623,31
7093,7093,Tower Hamlets,2021-06-07,Keatons - Bow,0,"College Terrace, Bow, London E3",0,0,pre-owned,435000.0,flat,0,leasehold,1 bed flat for sale,51.527844,-0.033047,45.0,1,1,1,2021-06-07,435000.0,0,0,0,Mile End,313,20
7094,7094,Tower Hamlets,2021-06-07,JLL - Canary Wharf,1,"Water Street, London E14",0,0,new,1335000.0,flat,0,leasehold,2 bed flat for sale,51.5045078522727,-0.0168167954545454,94.0,2,2,1,2021-06-07,1435000.0,0,0,1,Chesham,265,65
7095,7095,Tower Hamlets,2021-06-07,Hamptons - Canary Wharf Sales,1,"Kingfield Street, London E14",0,0,pre-owned,750000.0,terraced,0,freehold,3 bed terraced house for sale,51.490538,-0.007142,84.0,3,2,1,2021-06-07,750000.0,0,0,1,Island Gardens,423,8
7096,7096,Tower Hamlets,2021-06-07,Franklyn James,0,"Cubitt Wharf, Storers Quay, London E14",0,0,pre-owned,695000.0,Other,0,leasehold,2 bed property for sale,51.490669,-0.003288,93.0,2,2,1,2021-06-07,695000.0,1,1,1,Island Gardens,514,6
7097,7097,Tower Hamlets,2021-06-07,Pattinson - Auctions,0,"Glasshouse Fields, London E1W",0,0,pre-owned,400000.0,flat,1,leasehold,1 bed flat for sale,51.51129,-0.04689,65.0,1,0,1,2021-06-07,400000.0,0,0,0,Limehouse,446,10
7098,7098,Tower Hamlets,2021-06-07,Fraser & Co - City,0,"Pritchard Road, London E2",0,0,pre-owned,480000.0,flat,0,leasehold,1 bed flat for sale,51.535399,-0.062801,46.0,1,1,1,2021-06-07,499999.0,1,0,0,Bethnal Green,970,35
7099,7099,Tower Hamlets,2021-06-05,LRC - London Sales and Letting Agency,1,"One Park Drive, One Canada Square, Canary Wharf, London E14",0,0,new,899500.0,flat,0,leasehold,1 bed flat for sale,51.504937,-0.019523,68.0,1,1,1,2021-06-05,899500.0,1,0,1,Canary Wharf,130,62
