,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
15000,15000,15000,Haringey,2021-06-02,Tilson & Spencer,1,"Belmont Road, London N15",0,0,pre-owned,325000.0,flat,0,freehold,1 bed flat for sale,51.587001,-0.094552,46.0,1,1,1,2021-06-02,350000.0,1,0,1,Turnpike Lane,597,14,"[8, 2, 0, 6]"
15001,15001,15001,Haringey,2021-06-02,Strike,1,"Mount Pleasant Road, London N17",0,0,pre-owned,340000.0,flat,0,leasehold,1 bed flat for sale,51.5968,-0.078529,55.0,1,1,1,2021-06-02,340000.0,1,0,0,Seven Sisters,1443,1,"[6, 0, 0, 0]"
15002,15002,15002,Haringey,2021-06-02,Dexters - Highgate,0,"Stanhope Road, London N6",0,0,pre-owned,675000.0,flat,0,share_of_freehold,2 bed flat for sale,51.577955,-0.137582,79.0,2,2,1,2021-06-02,675000.0,1,0,0,Highgate,458,5,"[2, 1, 0, 0]"
15003,15003,15003,Haringey,2021-06-02,David Astburys,1,"Blake Apartments, New River Avenue N8",0,0,pre-owned,349950.0,flat,0,Other,1 bed flat for sale,51.589099,-0.116117,51.0,1,1,1,2021-06-02,349950.0,1,0,0,Chesham,807,14,"[7, 0, 0, 3]"
15004,15004,15004,Haringey,2021-06-02,"Purplebricks, Head Office",0,"Cavendish Road, London N4",0,0,pre-owned,450000.0,flat,0,leasehold,1 bed flat for sale,51.578846,-0.100456,59.0,1,1,1,2021-06-02,450000.0,0,0,0,Manor House,730,24,"[2, 1, 0, 2]"
15005,15005,15005,Haringey,2021-06-02,David Astburys,0,"Crescent Road, London N8",0,0,pre-owned,359500.0,flat,0,Other,1 bed flat for sale,51.574901,-0.129692,47.0,1,1,1,2021-06-02,359500.0,0,0,0,Chesham,1007,9,"[11, 3, 0, 4]"
15006,15006,15006,Haringey,2021-06-02,Ellis & Co - Bounds Green,0,"Highworth Road, London N11",0,0,pre-owned,625000.0,terraced,0,freehold,3 bed terraced house for sale,51.61118,-0.126942,111.0,3,2,1,2021-06-02,625000.0,1,0,0,Bounds Green,474,1,"[4, 2, 0, 0]"
15007,15007,15007,Haringey,2021-06-01,Winkworth - Harringay,0,"Lordship Lane, London N22",0,0,pre-owned,475000.0,flat,0,leasehold,2 bed flat for sale,51.599296,-0.102216,80.0,2,1,1,2021-06-01,490000.0,1,0,0,Wood Green,446,3,"[5, 0, 2, 0]"
15008,15008,15008,Haringey,2021-06-01,Martyn Gerrard - Crouch End,1,"Middle Lane, Crouch End, London N8",0,0,pre-owned,425000.0,Other,0,share_of_freehold,1 bed property for sale,51.581844,-0.12343,70.0,1,1,1,2021-06-01,425000.0,0,0,1,Archway,1577,36,"[3, 3, 3, 5]"
15009,15009,15009,Haringey,2021-06-01,Reliable Homes,1,"Hatherley Gardens, London N8",0,0,new,400000.0,flat,0,leasehold,1 bed flat for sale,51.577499,-0.123811,41.0,1,0,1,2021-06-01,425000.0,1,0,0,Archway,1363,32,"[10, 3, 3, 5]"
15010,15010,15010,Haringey,2021-06-01,Belvoir Wembley,0,"Cameron Close, Bowes Park N22",0,0,pre-owned,649950.0,detached,0,freehold,3 bed detached house for sale,51.604538,-0.112845,87.0,3,2,1,2021-06-01,649950.0,0,1,1,Wood Green,694,14,"[8, 1, 1, 3]"
15011,15011,15011,Haringey,2021-06-01,Martyn Gerrard - Muswell Hill,0,"Monkswell Court, Colney Hatch Lane, Muswell Hill, London N10",0,0,pre-owned,425000.0,flat,0,leasehold,3 bed flat for sale,51.60228,-0.147919,82.0,3,2,1,2021-06-01,425000.0,0,0,0,Arnos Grove,1762,1,"[3, 0, 0, 1]"
15012,15012,15012,Haringey,2021-06-01,Easy Properties London Ltd,1,"Heysham Road, London N15",0,0,pre-owned,420000.0,flat,0,leasehold,2 bed flat for sale,51.576462,-0.082431,58.0,2,1,1,2021-06-01,500000.0,0,0,1,Seven Sisters,692,1,"[6, 1, 0, 0]"
15013,15013,15013,Haringey,2021-06-01,Tilson & Spencer,0,"St. Loy's Road, London N17",0,0,pre-owned,645000.0,terraced,0,Other,3 bed terraced house for sale,51.592899,-0.074089,125.0,3,2,2,2021-06-01,645000.0,0,0,1,Chesham,991,8,"[9, 1, 0, 3]"
15014,15014,15014,Haringey,2021-06-01,Home & Away Estates,0,"Alexandra Park Road, London N22",0,0,pre-owned,360000.0,flat,0,share_of_freehold,1 bed flat for sale,51.598172,-0.125466,31.0,1,1,1,2021-06-01,360000.0,1,0,1,Chesham,963,2,"[2, 0, 1, 0]"
15015,15015,15015,Haringey,2021-06-01,Paul Simon Residential Sales,1,"Langham Road, Turnpike Lane, London N15",0,0,pre-owned,800000.0,terraced,0,freehold,4 bed terraced house for sale,51.588734,-0.094975,149.0,4,1,2,2021-06-01,840000.0,1,0,1,Turnpike Lane,459,10,"[5, 1, 0, 5]"
15016,15016,15016,Haringey,2021-06-01,Home & Away Estates,0,"Barrington Court, Colney Hatch Lane, Muswell Hill N10",0,0,pre-owned,340000.0,flat,0,leasehold,2 bed flat for sale,51.595923,-0.145266,55.0,2,1,1,2021-06-01,340000.0,0,1,0,Chesham,1547,10,"[7, 3, 0, 1]"
15017,15017,15017,Haringey,2021-06-01,Home & Away Estates,0,"Bruce Grove, London N17",0,0,pre-owned,250000.0,flat,0,leasehold,1 bed flat for sale,51.595753,-0.071754,51.0,1,0,0,2021-06-01,250000.0,0,0,0,Chesham,1051,7,"[7, 1, 0, 4]"
15018,15018,15018,Haringey,2021-06-01,Home & Away Estates,0,"Hampden Road, London N8",0,0,pre-owned,200000.0,studio,0,leasehold,Studio for sale,51.58764,-0.106481,36.0,0,1,1,2021-06-01,200000.0,1,0,0,Turnpike Lane,391,19,"[2, 3, 0, 7]"
15019,15019,15019,Haringey,2021-05-29,Winkworth - Highgate,0,"Talbot Road, London N6",0,0,pre-owned,1000000.0,flat,0,share_of_freehold,2 bed flat for sale,51.577843,-0.151444,93.0,2,2,1,2021-05-29,1000000.0,0,0,1,Highgate,448,10,"[3, 2, 0, 1]"
15020,15020,15020,Haringey,2021-05-29,Property Inc,1,"Hawke Park Rd, London N22",0,0,pre-owned,440000.0,flat,0,leasehold,2 bed flat for sale,51.593038,-0.098062,67.0,2,2,1,2021-05-29,460000.0,1,0,1,Turnpike Lane,365,8,"[3, 0, 0, 7]"
15021,15021,15021,Haringey,2021-05-28,Peabody,0,"Cornwall Road, London N15",0,1,pre-owned,156000.0,flat,0,leasehold,1 bed flat for sale,51.58414,-0.086872,46.0,1,1,0,2021-05-28,156000.0,1,0,1,Seven Sisters,802,5,"[8, 1, 0, 1]"
15022,15022,15022,Haringey,2021-05-28,Anthony Webb,0,"Marlborough Road, London N22",0,0,pre-owned,499500.0,flat,0,Other,2 bed flat for sale,51.608943,-0.116395,70.0,2,1,1,2021-05-28,510000.0,0,0,1,Bounds Green,702,16,"[4, 0, 1, 4]"
